gene;sample;mutated;label;year
IncN2;48;0;inc-group;2016
IncN3;48;0;inc-group;2016
IncP;48;0;inc-group;2016
IncQ1;48;0;inc-group;2016
IncU;48;0;inc-group;2016
IncX3;48;0;inc-group;2016
IncY;48;0;inc-group;2016
Acinetobacter;48;0;organism;2016
Aeromonas;48;0;organism;2016
Citrobacter;48;0;organism;2016
Enterobacter;48;0;organism;2016
Escherichia;48;0;organism;2016
Klebsiella;48;4;organism;2016
Leclercia;48;0;organism;2016
Morganella;48;0;organism;2016
Pantoea;48;0;organism;2016
Proteus;48;0;organism;2016
Pseudomonas;48;0;organism;2016
Raoultella;48;0;organism;2016
Salmonella;48;0;organism;2016
Serratia;48;0;organism;2016
CMY;3;0;β-lactamases;2014
CTX-M;3;0;β-lactamases;2014
DHA;3;0;β-lactamases;2014
FOX;3;0;β-lactamases;2014
GES;3;0;β-lactamases;2014
IMP;3;0;β-lactamases;2014
LAP;3;0;β-lactamases;2014
OXA;3;0;β-lactamases;2014
PSE;3;0;β-lactamases;2014
SHV;3;0;β-lactamases;2014
TEM;3;0;β-lactamases;2014
VEB;3;0;β-lactamases;2014
umuC/D;3;2;features;2014
Plasmid-segregation;3;2;features;2014
Toxin-antitoxin;3;2;features;2014
psiA/B;3;0;features;2014
Transposon;3;2;features;2014
Mercuric Res.;3;2;features;2014
Copper Res.;3;0;features;2014
Arsenic Res.;3;2;features;2014
IncA/C;3;0;inc-group;2014
IncA/C2;3;0;inc-group;2014
IncFIA;3;0;inc-group;2014
IncFIB;3;0;inc-group;2014
IncFIC;3;0;inc-group;2014
IncFII;3;0;inc-group;2014
IncHI1A;3;0;inc-group;2014
IncHI1B;3;0;inc-group;2014
IncHI2;3;0;inc-group;2014
IncL/M;3;0;inc-group;2014
IncN;3;0;inc-group;2014
IncN2;3;0;inc-group;2014
IncN3;3;0;inc-group;2014
IncP;3;0;inc-group;2014
IncQ1;3;0;inc-group;2014
IncU;3;0;inc-group;2014
IncX3;3;0;inc-group;2014
IncY;3;0;inc-group;2014
Acinetobacter;3;0;organism;2014
Aeromonas;3;0;organism;2014
Citrobacter;3;0;organism;2014
Enterobacter;3;0;organism;2014
Escherichia;3;0;organism;2014
Klebsiella;3;4;organism;2014
Leclercia;3;0;organism;2014
Morganella;3;0;organism;2014
Pantoea;3;0;organism;2014
Proteus;3;0;organism;2014
Pseudomonas;3;0;organism;2014
Raoultella;3;0;organism;2014
Salmonella;3;0;organism;2014
Serratia;3;0;organism;2014
CMY;1;0;β-lactamases;1998
CTX-M;1;0;β-lactamases;1998
DHA;1;0;β-lactamases;1998
FOX;1;0;β-lactamases;1998
GES;1;0;β-lactamases;1998
IMP;1;0;β-lactamases;1998
LAP;1;0;β-lactamases;1998
OXA;1;0;β-lactamases;1998
PSE;1;0;β-lactamases;1998
SHV;1;0;β-lactamases;1998
TEM;1;0;β-lactamases;1998
VEB;1;0;β-lactamases;1998
umuC/D;1;2;features;1998
Plasmid-segregation;1;2;features;1998
Toxin-antitoxin;1;2;features;1998
psiA/B;1;0;features;1998
Transposon;1;2;features;1998
Mercuric Res.;1;2;features;1998
Copper Res.;1;0;features;1998
Arsenic Res.;1;2;features;1998
IncA/C;1;0;inc-group;1998
IncA/C2;1;0;inc-group;1998
IncFIA;1;0;inc-group;1998
IncFIB;1;0;inc-group;1998
IncFIC;1;0;inc-group;1998
IncFII;1;0;inc-group;1998
IncHI1A;1;0;inc-group;1998
IncHI1B;1;0;inc-group;1998
IncHI2;1;0;inc-group;1998
IncL/M;1;0;inc-group;1998
IncN;1;0;inc-group;1998
IncN2;1;0;inc-group;1998
IncN3;1;0;inc-group;1998
IncP;1;0;inc-group;1998
IncQ1;1;0;inc-group;1998
IncU;1;0;inc-group;1998
IncX3;1;0;inc-group;1998
IncY;1;0;inc-group;1998
Acinetobacter;1;0;organism;1998
Aeromonas;1;0;organism;1998
Citrobacter;1;0;organism;1998
Enterobacter;1;4;organism;1998
Escherichia;1;4;organism;1998
Klebsiella;1;4;organism;1998
Leclercia;1;0;organism;1998
Morganella;1;0;organism;1998
Pantoea;1;0;organism;1998
Proteus;1;0;organism;1998
Pseudomonas;1;4;organism;1998
Raoultella;1;0;organism;1998
Salmonella;1;4;organism;1998
Serratia;1;0;organism;1998
CMY;111;0;β-lactamases;2016
CTX-M;111;0;β-lactamases;2016
DHA;111;0;β-lactamases;2016
FOX;111;0;β-lactamases;2016
GES;111;0;β-lactamases;2016
IMP;111;0;β-lactamases;2016
LAP;111;0;β-lactamases;2016
OXA;111;1;β-lactamases;2016
PSE;111;0;β-lactamases;2016
SHV;111;0;β-lactamases;2016
TEM;111;1;β-lactamases;2016
VEB;111;0;β-lactamases;2016
umuC/D;111;2;features;2016
Plasmid-segregation;111;0;features;2016
Toxin-antitoxin;111;0;features;2016
psiA/B;111;0;features;2016
Transposon;111;2;features;2016
Mercuric Res.;111;0;features;2016
Copper Res.;111;0;features;2016
Arsenic Res.;111;2;features;2016
IncA/C;111;0;inc-group;2016
IncA/C2;111;0;inc-group;2016
IncFIA;111;0;inc-group;2016
IncFIB;111;0;inc-group;2016
IncFIC;111;0;inc-group;2016
IncFII;111;0;inc-group;2016
IncHI1A;111;0;inc-group;2016
IncHI1B;111;0;inc-group;2016
IncHI2;111;0;inc-group;2016
IncL/M;111;0;inc-group;2016
IncN;111;3;inc-group;2016
IncN2;111;0;inc-group;2016
IncN3;111;0;inc-group;2016
IncP;111;0;inc-group;2016
IncQ1;111;0;inc-group;2016
IncU;111;0;inc-group;2016
IncX3;111;0;inc-group;2016
IncY;111;0;inc-group;2016
Acinetobacter;111;0;organism;2016
Aeromonas;111;0;organism;2016
Citrobacter;111;0;organism;2016
Enterobacter;111;0;organism;2016
Escherichia;111;0;organism;2016
Klebsiella;111;4;organism;2016
Leclercia;111;0;organism;2016
Morganella;111;0;organism;2016
Pantoea;111;0;organism;2016
Proteus;111;0;organism;2016
Pseudomonas;111;0;organism;2016
Raoultella;111;0;organism;2016
Salmonella;111;0;organism;2016
Serratia;111;0;organism;2016
CMY;45;0;β-lactamases;2016
CTX-M;45;0;β-lactamases;2016
DHA;45;1;β-lactamases;2016
FOX;45;0;β-lactamases;2016
GES;45;0;β-lactamases;2016
IMP;45;0;β-lactamases;2016
LAP;45;0;β-lactamases;2016
OXA;45;0;β-lactamases;2016
PSE;45;0;β-lactamases;2016
SHV;45;0;β-lactamases;2016
TEM;45;0;β-lactamases;2016
VEB;45;0;β-lactamases;2016
umuC/D;45;2;features;2016
Plasmid-segregation;45;2;features;2016
Toxin-antitoxin;45;2;features;2016
psiA/B;45;0;features;2016
Transposon;45;2;features;2016
Mercuric Res.;45;2;features;2016
Copper Res.;45;0;features;2016
Arsenic Res.;45;0;features;2016
IncA/C;45;0;inc-group;2016
IncA/C2;45;0;inc-group;2016
IncFIA;45;0;inc-group;2016
IncFIB;45;0;inc-group;2016
IncFIC;45;0;inc-group;2016
IncFII;45;0;inc-group;2016
IncHI1A;45;0;inc-group;2016
IncHI1B;45;0;inc-group;2016
IncHI2;45;0;inc-group;2016
IncL/M;45;0;inc-group;2016
IncN;45;0;inc-group;2016
IncN2;45;0;inc-group;2016
IncN3;45;0;inc-group;2016
IncP;45;0;inc-group;2016
IncQ1;45;0;inc-group;2016
IncU;45;0;inc-group;2016
IncX3;45;0;inc-group;2016
IncY;45;0;inc-group;2016
Acinetobacter;45;0;organism;2016
Aeromonas;45;0;organism;2016
Citrobacter;45;0;organism;2016
Enterobacter;45;0;organism;2016
Escherichia;45;0;organism;2016
Klebsiella;45;4;organism;2016
Leclercia;45;0;organism;2016
Morganella;45;0;organism;2016
Pantoea;45;0;organism;2016
Proteus;45;0;organism;2016
Pseudomonas;45;0;organism;2016
Raoultella;45;0;organism;2016
Salmonella;45;0;organism;2016
Serratia;45;0;organism;2016
CMY;89;0;β-lactamases;2016
CTX-M;89;0;β-lactamases;2016
DHA;89;0;β-lactamases;2016
FOX;89;0;β-lactamases;2016
GES;89;0;β-lactamases;2016
IMP;89;0;β-lactamases;2016
LAP;89;0;β-lactamases;2016
OXA;89;1;β-lactamases;2016
PSE;89;0;β-lactamases;2016
SHV;89;0;β-lactamases;2016
TEM;89;1;β-lactamases;2016
VEB;89;0;β-lactamases;2016
