gene;sample;mutated;label
Salmonella;99;0;organism
Serratia;99;0;organism
blaCMY;58;0;beta-lactamase
blaCTX-M;58;0;beta-lactamase
blaDHA;58;0;beta-lactamase
blaFOX;58;0;beta-lactamase
blaGES;58;0;beta-lactamase
blaIMP;58;0;beta-lactamase
blaLAP;58;0;beta-lactamase
blaOXA;58;1;beta-lactamase
blaPSE;58;0;beta-lactamase
blaSHV;58;0;beta-lactamase
blaTEM;58;1;beta-lactamase
blaVEB;58;0;beta-lactamase
parA/B/M;58;0;plasmid-stability
stbA/B/C;58;0;plasmid-stability
vagC/D;58;0;plasmid-stability
psiA/B;58;2;plasmid-stability
IncA/C;58;0;inc-group
IncA/C2;58;0;inc-group
IncFIA;58;3;inc-group
IncFIB;58;0;inc-group
IncFIC;58;0;inc-group
IncFII;58;0;inc-group
IncHI1A;58;0;inc-group
IncHI1B;58;0;inc-group
IncHI2;58;0;inc-group
IncI1;58;0;inc-group
IncI2;58;0;inc-group
IncL/M;58;0;inc-group
IncN;58;0;inc-group
IncN2;58;0;inc-group
IncN3;58;0;inc-group
IncP;58;0;inc-group
IncQ1;58;0;inc-group
IncQ2;58;0;inc-group
IncR;58;0;inc-group
IncU;58;0;inc-group
IncX3;58;0;inc-group
IncY;58;0;inc-group
Acinetobacter;58;0;organism
Aeromonas;58;0;organism
Citrobacter;58;0;organism
Enterobacter;58;4;organism
Escherichia;58;0;organism
Klebsiella;58;0;organism
Leclercia;58;0;organism
Morganella;58;0;organism
Pantoea;58;0;organism
Proteus;58;0;organism
Pseudomonas;58;0;organism
Raoultella;58;0;organism
Salmonella;58;0;organism
Serratia;58;0;organism
blaCMY;76;0;beta-lactamase
blaCTX-M;76;0;beta-lactamase
blaDHA;76;0;beta-lactamase
blaFOX;76;0;beta-lactamase
blaGES;76;0;beta-lactamase
blaIMP;76;0;beta-lactamase
blaLAP;76;0;beta-lactamase
blaOXA;76;1;beta-lactamase
blaPSE;76;0;beta-lactamase
blaSHV;76;1;beta-lactamase
blaTEM;76;1;beta-lactamase
blaVEB;76;0;beta-lactamase
parA/B/M;76;0;plasmid-stability
stbA/B/C;76;0;plasmid-stability
vagC/D;76;0;plasmid-stability
psiA/B;76;2;plasmid-stability
IncA/C;76;0;inc-group
IncA/C2;76;0;inc-group
IncFIA;76;3;inc-group
IncFIB;76;0;inc-group
IncFIC;76;0;inc-group
IncFII;76;0;inc-group
IncHI1A;76;0;inc-group
IncHI1B;76;0;inc-group
IncHI2;76;0;inc-group
IncI1;76;0;inc-group
IncI2;76;0;inc-group
IncL/M;76;0;inc-group
IncN;76;0;inc-group
IncN2;76;0;inc-group
IncN3;76;0;inc-group
IncP;76;0;inc-group
IncQ1;76;0;inc-group
IncQ2;76;0;inc-group
IncR;76;0;inc-group
IncU;76;0;inc-group
IncX3;76;3;inc-group
IncY;76;0;inc-group
Acinetobacter;76;0;organism
Aeromonas;76;0;organism
Citrobacter;76;4;organism
Enterobacter;76;0;organism
Escherichia;76;4;organism
Klebsiella;76;4;organism
Leclercia;76;0;organism
Morganella;76;0;organism
Pantoea;76;0;organism
Proteus;76;0;organism
Pseudomonas;76;0;organism
Raoultella;76;0;organism
Salmonella;76;0;organism
Serratia;76;4;organism
blaCMY;92;0;beta-lactamase
blaCTX-M;92;0;beta-lactamase
blaDHA;92;0;beta-lactamase
blaFOX;92;0;beta-lactamase
blaGES;92;0;beta-lactamase
blaIMP;92;0;beta-lactamase
blaLAP;92;0;beta-lactamase
blaOXA;92;0;beta-lactamase
blaPSE;92;0;beta-lactamase
blaSHV;92;0;beta-lactamase
blaTEM;92;1;beta-lactamase
blaVEB;92;0;beta-lactamase
parA/B/M;92;0;plasmid-stability
stbA/B/C;92;0;plasmid-stability
vagC/D;92;0;plasmid-stability
psiA/B;92;0;plasmid-stability
IncA/C;92;0;inc-group
IncA/C2;92;0;inc-group
IncFIA;92;0;inc-group
IncFIB;92;0;inc-group
IncFIC;92;0;inc-group
IncFII;92;0;inc-group
IncHI1A;92;0;inc-group
IncHI1B;92;0;inc-group
IncHI2;92;0;inc-group
IncI1;92;0;inc-group
IncI2;92;0;inc-group
IncL/M;92;0;inc-group
IncN;92;0;inc-group
IncN2;92;0;inc-group
IncN3;92;0;inc-group
IncP;92;0;inc-group
IncQ1;92;0;inc-group
IncQ2;92;0;inc-group
IncR;92;0;inc-group
IncU;92;0;inc-group
IncX3;92;0;inc-group
IncY;92;0;inc-group
Acinetobacter;92;0;organism
Aeromonas;92;0;organism
Citrobacter;92;0;organism
Enterobacter;92;4;organism
Escherichia;92;0;organism
Klebsiella;92;0;organism
Leclercia;92;0;organism
Morganella;92;0;organism
Pantoea;92;0;organism
Proteus;92;0;organism
Pseudomonas;92;0;organism
Raoultella;92;0;organism
Salmonella;92;0;organism
Serratia;92;0;organism
blaCMY;12;0;beta-lactamase
blaCTX-M;12;0;beta-lactamase
blaDHA;12;0;beta-lactamase
blaFOX;12;0;beta-lactamase
blaGES;12;0;beta-lactamase
blaIMP;12;0;beta-lactamase
blaLAP;12;0;beta-lactamase
blaOXA;12;1;beta-lactamase
blaPSE;12;0;beta-lactamase
blaSHV;12;0;beta-lactamase
blaTEM;12;1;beta-lactamase
blaVEB;12;0;beta-lactamase
parA/B/M;12;0;plasmid-stability
stbA/B/C;12;0;plasmid-stability
vagC/D;12;0;plasmid-stability
psiA/B;12;0;plasmid-stability
IncA/C;12;0;inc-group
IncA/C2;12;0;inc-group
IncFIA;12;0;inc-group
IncFIB;12;0;inc-group
IncFIC;12;0;inc-group
IncFII;12;0;inc-group
IncHI1A;12;0;inc-group
IncHI1B;12;0;inc-group
IncHI2;12;0;inc-group
IncI1;12;0;inc-group
IncI2;12;0;inc-group
IncL/M;12;0;inc-group
IncN;12;0;inc-group
IncN2;12;0;inc-group
IncN3;12;0;inc-group
IncP;12;0;inc-group
IncQ1;12;0;inc-group
IncQ2;12;0;inc-group
IncR;12;0;inc-group
IncU;12;0;inc-group
IncX3;12;0;inc-group
IncY;12;0;inc-group
Acinetobacter;12;0;organism
Aeromonas;12;0;organism
Citrobacter;12;4;organism
Enterobacter;12;0;organism
Escherichia;12;0;organism
Klebsiella;12;0;organism
Leclercia;12;0;organism
